url	reported_in	literal_variants	verification_status
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.35.5512	Claude report.md	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.35.5512	Input-report link; not independently endorsed by inclusion
http://eudml.org/doc/207210	Claude report.md	http://eudml.org/doc/207210	Input-report link; not independently endorsed by inclusion
http://garden.irmacs.sfu.ca/op/complexity_of_square_root_sum	Claude report.md	http://garden.irmacs.sfu.ca/op/complexity_of_square_root_sum	Input-report link; not independently endorsed by inclusion
http://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf	Claude report.md | Grok report.md	http://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf	Input-report link; not independently endorsed by inclusion
https://arxiv.org/abs/2202.07961	Claude report.md	https://arxiv.org/abs/2202.07961	Input-report link; not independently endorsed by inclusion
https://arxiv.org/abs/2403.04776	Claude report.md | Gemini report/Gemini report.md	https://arxiv.org/abs/2403.04776	Input-report link; not independently endorsed by inclusion
https://arxiv.org/abs/2404.04051	Claude report.md	https://arxiv.org/abs/2404.04051	Input-report link; not independently endorsed by inclusion
https://arxiv.org/html/2403.04776v2	Gemini report/Gemini report.md	https://arxiv.org/html/2403.04776v2	Input-report link; not independently endorsed by inclusion
https://arxiv.org/pdf/2304.13605	Claude report.md	https://arxiv.org/pdf/2304.13605	Input-report link; not independently endorsed by inclusion
https://arxiv.org/pdf/2403.04776	Claude report.md | Gemini report/Gemini report.md	https://arxiv.org/pdf/2403.04776	Input-report link; not independently endorsed by inclusion
https://brownmath.com/alge/nestrad.htm	Grok report.md	https://brownmath.com/alge/nestrad.htm	Input-report link; not independently endorsed by inclusion
https://community.wolfram.com/groups/-/m/t/2120629	Claude report.md	https://community.wolfram.com/groups/-/m/t/2120629	Input-report link; not independently endorsed by inclusion
https://community.wolfram.com/groups/-/m/t/980264	Claude report.md	https://community.wolfram.com/groups/-/m/t/980264	Input-report link; not independently endorsed by inclusion
https://cs.nyu.edu/exact/pap/rootBounds/sumOfSqrts/bloemerThesis.pdf	ChatGPT report/ChatGPT report.md | Gemini report/Gemini report.md | Grok report.md	https://cs.nyu.edu/exact/pap/rootBounds/sumOfSqrts/bloemerThesis.pdf	Input-report link; not independently endorsed by inclusion
https://cybertester.com/data/denest.pdf	Claude report.md | Grok report.md	https://cybertester.com/data/denest.pdf	Input-report link; not independently endorsed by inclusion
https://dl.acm.org/doi/abs/10.5555/142931	Claude report.md	https://dl.acm.org/doi/abs/10.5555/142931	Input-report link; not independently endorsed by inclusion
https://doc.sagemath.org/html/en/reference/number_fields/sage/rings/qqbar.html	Claude report.md	https://doc.sagemath.org/html/en/reference/number_fields/sage/rings/qqbar.html	Input-report link; not independently endorsed by inclusion
https://docs.sympy.org/latest/contributing/new-contributors-guide/writing-tests.html	Gemini report/Gemini report.md	https://docs.sympy.org/latest/contributing/new-contributors-guide/writing-tests.html	Input-report link; not independently endorsed by inclusion
https://docs.sympy.org/latest/modules/simplify/simplify.html	Claude report.md	https://docs.sympy.org/latest/modules/simplify/simplify.html	Input-report link; not independently endorsed by inclusion
https://dokumen.pub/download/didactical-challenge-of-symbolic-calculators-turning-a-computanal-device-into-a-mathematical-instrument-the.html	Gemini report/Gemini report.md	https://dokumen.pub/download/didactical-challenge-of-symbolic-calculators-turning-a-computanal-device-into-a-mathematical-instrument-the.html	Input-report link; not independently endorsed by inclusion
https://en.wikipedia.org/wiki/Nested_radical	Claude report.md | Gemini report/Gemini report.md | Grok report.md	https://en.wikipedia.org/wiki/Nested\_radical | https://en.wikipedia.org/wiki/Nested_radical	Input-report link; not independently endorsed by inclusion
https://en.wikipedia.org/wiki/Nth_root	Gemini report/Gemini report.md	https://en.wikipedia.org/wiki/Nth\_root | https://en.wikipedia.org/wiki/Nth_root	Input-report link; not independently endorsed by inclusion
https://en.wikipedia.org/wiki/Square-root_sum_problem	Claude report.md	https://en.wikipedia.org/wiki/Square-root_sum_problem	Input-report link; not independently endorsed by inclusion
https://en.wikipedia.org/wiki/Sum_of_radicals	Claude report.md	https://en.wikipedia.org/wiki/Sum_of_radicals	Input-report link; not independently endorsed by inclusion
https://epubs.siam.org/doi/10.1137/0221009	Gemini report/Gemini report.md	https://epubs.siam.org/doi/10.1137/0221009	Input-report link; not independently endorsed by inclusion
https://faculty.math.illinois.edu/~berndt/publications.html	Claude report.md	https://faculty.math.illinois.edu/~berndt/publications.html	Input-report link; not independently endorsed by inclusion
https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/024-denesting-square-roots.pdf	Claude report.md	https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/024-denesting-square-roots.pdf	Input-report link; not independently endorsed by inclusion
https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/submitted/denesting-square-roots.pdf	Gemini report/Gemini report.md	https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/submitted/denesting-square-roots.pdf	Input-report link; not independently endorsed by inclusion
https://fossies.org/linux/maxima/share/raddenest/rtest_raddenest.mac	Claude report.md	https://fossies.org/linux/maxima/share/raddenest/rtest_raddenest.mac	Input-report link; not independently endorsed by inclusion
https://github.com/YasuakiHonda/GaloisGroupSolver	Claude report.md	https://github.com/YasuakiHonda/GaloisGroupSolver	Input-report link; not independently endorsed by inclusion
https://github.com/gschintgen/raddenest	Claude report.md	https://github.com/gschintgen/raddenest	Input-report link; not independently endorsed by inclusion
https://github.com/sympy/sympy/blob/master/sympy/simplify/sqrtdenest.py	ChatGPT report/ChatGPT report.md	https://github.com/sympy/sympy/blob/master/sympy/simplify/sqrtdenest.py	Input-report link; not independently endorsed by inclusion
https://github.com/sympy/sympy/blob/master/sympy/simplify/tests/test_sqrtdenest.py	ChatGPT report/ChatGPT report.md	https://github.com/sympy/sympy/blob/master/sympy/simplify/tests/test_sqrtdenest.py	Input-report link; not independently endorsed by inclusion
https://github.com/sympy/sympy/issues/2415	Claude report.md	https://github.com/sympy/sympy/issues/2415	Input-report link; not independently endorsed by inclusion
https://github.com/sympy/sympy/issues/27082	Claude report.md	https://github.com/sympy/sympy/issues/27082	Input-report link; not independently endorsed by inclusion
https://ieeexplore.ieee.org/document/267807/	Claude report.md	https://ieeexplore.ieee.org/document/267807/	Input-report link; not independently endorsed by inclusion
https://jp.maplesoft.com/support/help/maple/view.aspx?path=updates/v53&L=J	Gemini report/Gemini report.md	https://jp.maplesoft.com/support/help/maple/view.aspx?path=updates/v53&L=J | https://jp.maplesoft.com/support/help/maple/view.aspx?path=updates/v53\&L=J	Input-report link; not independently endorsed by inclusion
https://link.springer.com/content/pdf/10.1007/BF03024284.pdf	Claude report.md	https://link.springer.com/content/pdf/10.1007/BF03024284.pdf	Input-report link; not independently endorsed by inclusion
https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf	Claude report.md | Grok report.md	https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf	Input-report link; not independently endorsed by inclusion
https://math.stackexchange.com/questions/16331	Grok report.md	https://math.stackexchange.com/questions/16331	Input-report link; not independently endorsed by inclusion
https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula	Gemini report/Gemini report.md	https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula	Input-report link; not independently endorsed by inclusion
https://math.stackexchange.com/questions/4680	Grok report.md	https://math.stackexchange.com/questions/4680	Input-report link; not independently endorsed by inclusion
https://math.stackexchange.com/questions/871639	Grok report.md	https://math.stackexchange.com/questions/871639	Input-report link; not independently endorsed by inclusion
https://math.ucr.edu/~res/math153-2019/osler-An_easy_look_at_the_cubic_formula.pdf	Claude report.md	https://math.ucr.edu/~res/math153-2019/osler-An_easy_look_at_the_cubic_formula.pdf	Input-report link; not independently endorsed by inclusion
