id,title,category,research_status,download_status,asset_routes,report_citations,download_or_landing_urls,dois,notes
fateman72,Essays in Algebraic Simplification,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:fateman72; report-2:fatemanthesis; report-3:fateman,https://web.archive.org/web/20051217213927id_/http://www.lcs.mit.edu/publications/pubs/pdf/MIT-LCS-TR-095.pdf,,"1972 refers to revised MIT technical report MIT-LCS-TR-095. The reports call it an MIT PhD thesis; that institutional attribution has not been accepted as independently verified metadata.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
caviness76,Simplification of radical expressions,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:caviness76; report-2:cavinessfateman; report-3:caviness,https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
zippelthesis,Simplification of Radicals with Applications to Solving Polynomial Equations,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:zippel77; report-2:zippelthesis; report-3:zippel77,https://dspace.mit.edu/entities/publication/8c890e97-f123-4c57-9278-9c85915cf15c,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
zippel1977,Radical simplification made easy,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:zippel77; report-2:zippel1977; report-3:zippel77,https://ntrs.nasa.gov/citations/19770021838,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bfht,Decreasing the nesting depth of expressions involving square roots,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:bfht; report-2:bfht; report-3:bfht,"https://www.cs.toronto.edu/~bor/Papers/decreasing-nesting-depth-for-expressions.pdf
https://researcher.watson.ibm.com/researcher/files/us-fagin/symb85.pdf",10.1016/S0747-7171(85)80013-4,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
zippel85,Simplification of expressions involving radicals,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:zippel85; report-2:zippel; report-3:zippel85,,10.1016/S0747-7171(85)80014-6,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
landauMiller,Solvability by radicals is in polynomial time,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:landauMiller; report-2:landaumiller; report-3:landaumiller,https://www.cs.cmu.edu/~glmiller/Publications/Papers/LaMi85.pdf,10.1016/0022-0000(85)90013-3; 10.1145/800061.808743,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
landau92,Simplification of nested radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:landau92; report-2:landau; report-3:landau,https://www.researchgate.net/profile/Susan-Landau-2/publication/2629046_Simplification_of_Nested_Radicals/links/02bfe510fbd90dfb8f000000/Simplification-of-Nested-Radicals.pdf,10.1137/0221009; 10.1109/SFCS.1989.63496,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
landauNote,A note on ``Zippel Denesting'',paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:landauNote; report-2:landaunote; report-3:landauzippel,https://web.cs.umass.edu/publication/docs/1990/UM-CS-1990-120.pdf,10.1016/0747-7171(92)90004-N,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
landau94,How to tangle with a nested radical,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:landau94; report-2:landausurvey; report-3:landau94,https://web.cs.umass.edu/publication/docs/1991/UM-CS-1991-076.pdf,10.1007/BF03024284,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
landau98,Square root of 2 plus square root of 3: four different views,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:landau98; report-2:landau1998; report-3:landauviews,https://privacyink.org/pdf/Sqrt2%2BSqrt3.pdf,10.1007/BF03025229,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
horng90,Simplifying nested radicals and solving polynomials by radicals in minimum depth,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:horng90; report-2:horng1990; report-3:hornghuang,,10.1090/S0025-5718-99-01060-1,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
horng99,Solving polynomials by radicals with roots of unity in minimum depth,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:horng99; report-2:horng1999,"https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth
https://www.ams.org/journals/mcom/1999-68-226/S0025-5718-99-01060-1/S0025-5718-99-01060-1.pdf",10.1090/S0025-5718-99-01060-1,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
horngThesis,Simplifying Nested Radicals and Solving Polynomials by Nested Radicals in Minimum Depth,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:horngThesis; report-3:horngthesis,,10.5555/142931,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
cotner,The Nesting Depths of Radical Expression,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:cotner; report-2:cotner; report-3:cotner,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
