archive_member	uncompressed_bytes	sha256	role
ChatGPT report/ChatGPT report.md	60168	3c1f778e6109243b35f42d730e9c577990bdc106e31f9f644be2ff573c137e5a	report text
ChatGPT report/ChatGPT report.pdf	407066	2a4aa12800d14ab046a832228c790819763df32d1409cb3149593da0d1d92860	alternate report rendering
ChatGPT report/ChatGPT report.tex	65909	ef349fa3ad40c40e7b99072905140b59a8402baa118effc94b68f3d824f8f000	alternate report rendering/source
ChatGPT report/images/794bed2d-ff1b-4af2-a492-063f1f3057e2-03_1100_591_247_767.jpg	43950	5b244e7744a9fe6383bc0f855aabb6b7729ebfe040392df8490383c978d96b0d	embedded illustration
ChatGPT report/images/794bed2d-ff1b-4af2-a492-063f1f3057e2-04_452_1586_1235_269.jpg	64230	d224e476aa4f1a2d470ae2514b5774ea62604ddda1920501520d2adeb1394d8b	embedded illustration
Claude report.md	32156	c3f766201ee7e919bbfe6fdabcddd845ca509a5ee9cdc004ff052b4faf307873	report text
Gemini report/Gemini report.md	155244	ccc118003bd56bb2838feaa35d8eaea61810cbc41e04470a9a816aa9dcf0b34e	report text
Gemini report/Gemini report.pdf	405122	2db11b1deb0b910e17e1b81698f922346ac2516ef52bce43c24b540406e240d8	alternate report rendering
Gemini report/Gemini report.tex	36421	4a9c800cf0a8d1b3daeb6e6ad774ad94dadcd5172b96c02998f601ca6cecbab7	alternate report rendering/source
Grok report.md	26589	c8fd57ca4421775d612c6ee052ec61d0551388f108a3ac6bc717e0d44dac915e	report text
