Kernel: 15.0.1 for Microsoft Windows (64-bit) (July 2, 2026)
Review 4  package C:/RadicalDenest/.claude/worktrees/strad-denesting-analysis-6158e6/src/code-review/review-4/StradImproved.wl
load: loaded  messages while loading: {}
public symbols: {CertifiedEqualQ, DenestCore, DenestRadicals, DenestReport, ExactAlgebraicQ, Factorc, RadicalCost, RadicalDepth, RationalizeDenominator, Strad}
exact-equality-positive -> Success   (Quantity[0.01, Seconds] s)
reject-wrong-square-root-branch -> Success   (Quantity[0., Seconds] s)
no-numerical-tolerance-acceptance -> Success   (Quantity[0., Seconds] s)
symbolic-equality-is-not-algebraic-certificate -> Success   (Quantity[0., Seconds] s)
supported-exact-domain -> Success   (Quantity[0., Seconds] s)
failed-is-not-an-accepted-polynomial -> Success   (Quantity[0., Seconds] s)
constant-is-not-a-minimal-polynomial -> Success   (Quantity[0., Seconds] s)
root-payload-is-opaque -> Success   (Quantity[0., Seconds] s)
root-representation-is-not-free -> Success   (Quantity[0., Seconds] s)
empty-list-metrics -> Success   (Quantity[0., Seconds] s)
direct-quadratic-denesting -> Success   (Quantity[0.03, Seconds] s)
negative-coefficient-positive-root -> Success   (Quantity[0.01, Seconds] s)
indirect-fourth-root-minus-sign -> Success   (Quantity[0.02, Seconds] s)
indirect-negative-rational-part -> Success   (Quantity[0.02, Seconds] s)
negative-radicand-principal-square-root -> Success   (Quantity[0.02, Seconds] s)
composite-index-without-cost-neutral-stall -> Success   (Quantity[0.03, Seconds] s)
negative-rational-exponent -> Success   (Quantity[0.02, Seconds] s)
cubic-trace-norm -> Success   (Quantity[0.03, Seconds] s)
negative-real-cubic-is-not-real-root -> Success   (Quantity[0.05, Seconds] s)
honsbeek-ramanujan-square-of-cube-roots -> Success   (Quantity[0.18, Seconds] s)
untrusted-solver-in-symbolic-host -> Success   (Quantity[0.02, Seconds] s)
ambient-assumptions-do-not-rewrite-host -> Success   (Quantity[0.02, Seconds] s)
unknown-head-is-opaque -> Success   (Quantity[0., Seconds] s)
held-input-is-opaque -> Success   (Quantity[0., Seconds] s)
symbolic-factorc-is-conservative -> Success   (Quantity[0., Seconds] s)
horner-inverse -> Success   (Quantity[0., Seconds] s)
symbolic-numerator-local-inverse-certificate -> Success   (Quantity[0., Seconds] s)
aggregate-positive-factor-is-not-termwise-license -> Success   (Quantity[0., Seconds] s)
setoptions-strad-is-effective -> Success   (Quantity[0., Seconds] s)
setoptions-wrapper-is-effective -> Success   (Quantity[0., Seconds] s)
zero-budget-no-work -> Success   (Quantity[0., Seconds] s)
invalid-options-fail-explicitly -> Success   (Quantity[0., Seconds] s)
forced-list-obeys-total-target-cap -> Success   (Quantity[0.01, Seconds] s)
trial-budget-shared-across-list -> Success   (Quantity[0.01, Seconds] s)
bounded-diagnostics -> Success   (Quantity[0.01, Seconds] s)
callback-throw-is-not-a-rewrite -> Success   (Quantity[0.02, Seconds] s)
each-example-equal-and-no-more-expensive -> Success   (Quantity[0.1, Seconds] s)
tests: 37  succeeded: 37  failed: 0  time: Quantity[0.6000000000000001, Seconds]
DONE
